Comment,Designator,Footprint,LCSC
1N4148W,D11,Diode_1N4148W,
HOLE,TH3,HOLE_M2_TH,
1N4148W,D8,Diode_1N4148W,
SW_PUSH,SW1,CherryMX_KailhLowProfile_Hotswap_edge,
SW_PUSH,SW4,CherryMX_KailhLowProfile_Hotswap_edge,
SW_PUSH,SW7,CherryMX_KailhLowProfile_Hotswap_edge,
SW_PUSH,SW18,CherryMX_KailhLowProfile_Hotswap_edge_stab,
OLED,OL1,OLED_4Pin,
SW_PUSH,SW16,CherryMX_KailhLowProfile_Hotswap_edge,
MJ-4PP-9,J2,TRRS_MJ-4PP-9,
SW_PUSH,SW2,CherryMX_KailhLowProfile_Hotswap_edge,
SW_PUSH,SW6,CherryMX_KailhLowProfile_Hotswap_edge,
SW_PUSH,SW3,CherryMX_KailhLowProfile_Hotswap_edge,
1N4148W,D9,Diode_1N4148W,
1N4148W,D10,Diode_1N4148W,
1N4148W,D14,Diode_1N4148W,
1N4148W,D18,Diode_1N4148W,
1N4148W,D17,Diode_1N4148W,
1N4148W,D5,Diode_1N4148W,
1N4148W,D7,Diode_1N4148W,
1N4148W,D6,Diode_1N4148W,
1N4148W,D13,Diode_1N4148W,
SW_PUSH,SW8,CherryMX_KailhLowProfile_Hotswap_edge,
SW_PUSH,SW15,CherryMX_KailhLowProfile_Hotswap_edge,
SW_PUSH,SW5,CherryMX_KailhLowProfile_Hotswap_edge,
SW_RESET,SW19,RESET,
SW_PUSH,SW13,CherryMX_KailhLowProfile_Hotswap_edge,
1N4148W,D2,Diode_1N4148W,
1N4148W,D4,Diode_1N4148W,
SW_PUSH,SW17,CherryMX_KailhLowProfile_Hotswap_edge,
1N4148W,D1,Diode_1N4148W,
1N4148W,D12,Diode_1N4148W,
1N4148W,D16,Diode_1N4148W,
SW_PUSH,SW10,CherryMX_KailhLowProfile_Hotswap_edge,
1N4148W,D3,Diode_1N4148W,
SW_PUSH,SW14,CherryMX_KailhLowProfile_Hotswap_edge,
ProMicro,U1,ProMicro2,
SW_PUSH,SW11,CherryMX_KailhLowProfile_Hotswap_edge,
SW_PUSH,SW12,CherryMX_KailhLowProfile_Hotswap_edge,
1N4148W,D15,Diode_1N4148W,
SW_PUSH,SW9,CherryMX_KailhLowProfile_Hotswap_edge,
